Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000085,Barking and Dagenham 013E,10.07,61.99,19.5,22.2,26.7,12.7,78.5,15.4,6.1,46.4,39.5,11.2,35.6,16.1,14.9,1.6,7.4,16,8.3,52,14,43.36,24.27,2.4
E01000086,Barking and Dagenham 013F,10.06,63.45,24,21.9,23.8,11.8,80.1,14.5,5.5,36.6,46.5,12.2,30.5,15.9,16.4,2.3,7.9,18.9,8.1,58.8,10.4,48.57,20.27,1.59
E01000087,Barking and Dagenham 020B,9.47,65.18,18.7,21.1,26.2,13.7,79.3,13.8,6.9,38.8,42.3,15.7,30.5,16.3,18.8,2.1,7.3,17.4,7.7,57.4,9.9,47.43,22.82,2.93
E01000088,Barking and Dagenham 020C,13.4,61.38,22.5,20.6,26.3,12.8,80.6,14.2,5.2,35.6,47.5,13.6,30.6,12.8,15.1,2.3,8.4,21.9,8.8,57.9,8.9,46.28,20.24,2.17
E01000089,Barking and Dagenham 020D,8.64,64.23,23.7,21.9,21.6,8.8,84.4,11.5,4.1,33,44.6,17.6,25.4,17.4,16.4,2.2,10.8,21.1,6.8,60,9,48.62,19.99,1.57
E01000090,Barking and Dagenham 020E,8.84,62.37,21.1,23.7,20,14,84.5,11,4.5,33.9,46.8,14.8,25.3,15.2,14.4,2,10.1,23,10,58.6,9,47.1,20.33,3.62
E01000091,Barking and Dagenham 022A,9.22,58.93,17.9,16.3,30.8,12.8,79.3,14.4,6.3,48.3,40.1,7.1,32,15.7,13.7,2.5,8.1,17.6,10.4,51.3,13.3,40.72,21.65,2.17
E01000092,Barking and Dagenham 019E,8.83,63.16,26.8,13.4,26.3,14.8,82.5,11.8,5.7,40.3,44.2,13,22.8,12.7,14.9,1.9,8.9,27.1,11.8,56.4,13.5,46.93,19.37,3.35
E01000093,Barking and Dagenham 022B,6.98,65.09,16.7,14.2,38.3,11.7,77.2,14.5,8.3,53.7,37.9,6.9,27.4,16.2,14.3,2.2,10,19,10.8,51.2,13.8,44.6,23.14,2.2
E01000094,Barking and Dagenham 022C,1.89,67.95,23,12.8,27.9,15.7,90,6.6,3.4,37.1,49.7,12.4,12.7,11.8,14,2.1,10.4,37.4,11.7,63.6,9.9,53.32,16.21,2.43
E01000095,Barking and Dagenham 018E,7.19,63.42,28.2,18.4,22.4,12.2,86,9.6,4.4,30.4,47.5,18.4,23.2,16.6,13.2,1.6,8.6,26.8,9.9,60.8,10.1,48.41,19.08,4.95
E01000096,Barking and Dagenham 022D,5.17,60.05,21.8,11.3,22.8,13.8,82.6,12.5,5,51.3,41.3,6.4,25,19.1,16.7,1.7,8.1,19.8,9.6,48,15.4,40.37,22.32,2.54
E01000097,Barking and Dagenham 023C,18.06,57.52,20.9,19.9,36,7.5,76.5,14.1,9.4,43.5,41.5,12.4,36.7,15.6,13.3,1.7,7.9,18,6.8,57.6,9.2,42.6,22.1,1.78
