LSOA11CD,LSOA11NM,crime_sum
E01000381,Bexley 028A,77
E01000382,Bexley 027A,56
E01000383,Bexley 028B,110
E01000384,Bexley 027B,66
E01000385,Bexley 028C,216
E01000386,Bexley 028D,218
E01000387,Bexley 027C,36
E01000388,Bexley 016A,53
E01000389,Bexley 020E,87
E01000390,Bexley 020F,41
E01000391,Bexley 021E,54
E01000392,Bexley 016B,235
E01000393,Bexley 020G,114
E01000394,Bexley 015E,74
E01000395,Bexley 018B,102
E01000396,Bexley 018C,36
E01000398,Bexley 029A,58
E01000399,Bexley 029B,61
E01000400,Bexley 029C,83
E01000401,Bexley 013A,95
E01000402,Bexley 005B,79
E01000403,Bexley 004A,677
E01000404,Bexley 004B,236
E01000405,Bexley 004C,116
E01000406,Bexley 005C,128
E01000407,Bexley 005D,85
E01000408,Bexley 004D,169
E01000409,Bexley 016C,34
E01000410,Bexley 018D,54
E01000411,Bexley 016D,42
E01000412,Bexley 018E,58
E01000413,Bexley 018F,88
E01000414,Bexley 016E,237
E01000415,Bexley 016F,41
E01000416,Bexley 002A,200
E01000417,Bexley 006B,122
E01000418,Bexley 002B,73
E01000419,Bexley 006C,53
E01000420,Bexley 006D,38
E01000421,Bexley 009D,43
E01000422,Bexley 002C,87
E01000423,Bexley 025C,35
E01000424,Bexley 026A,62
E01000425,Bexley 025D,37
E01000426,Bexley 026B,65
E01000427,Bexley 026C,69
E01000428,Bexley 027D,198
E01000429,Bexley 008B,138
E01000430,Bexley 008C,130
E01000431,Bexley 008D,141
E01000432,Bexley 008E,183
E01000433,Bexley 008F,170
E01000434,Bexley 008G,96
E01000435,Bexley 010E,114
E01000436,Bexley 011E,39
E01000437,Bexley 007A,74
E01000438,Bexley 007B,85
E01000439,Bexley 007C,139
E01000440,Bexley 007D,39
E01000441,Bexley 007E,119
E01000442,Bexley 006E,38
E01000443,Bexley 024B,52
E01000444,Bexley 023B,45
E01000445,Bexley 024C,60
E01000446,Bexley 024D,44
E01000447,Bexley 023C,181
E01000448,Bexley 023D,37
E01000449,Bexley 023E,58
E01000450,Bexley 009E,94
E01000451,Bexley 009F,64
E01000452,Bexley 009G,34
E01000453,Bexley 013B,45
E01000454,Bexley 013C,89
E01000455,Bexley 013D,72
E01000456,Bexley 013E,40
E01000457,Bexley 026D,275
E01000458,Bexley 027E,60
E01000459,Bexley 027F,79
E01000460,Bexley 022E,53
E01000461,Bexley 024E,61
E01000462,Bexley 026E,179
E01000463,Bexley 025E,23
E01000464,Bexley 002D,88
E01000465,Bexley 002E,107
E01000466,Bexley 001A,128
E01000467,Bexley 001B,91
E01000468,Bexley 001C,123
E01000469,Bexley 001D,81
E01000470,Bexley 002F,137
E01000471,Brent 026A,57
E01000472,Brent 029A,235
E01000473,Brent 029B,213
E01000474,Brent 026B,59
E01000475,Brent 029C,181
E01000476,Brent 026C,70
E01000477,Brent 026D,131
E01000478,Brent 029D,90
E01000479,Brent 009A,82
E01000480,Brent 006A,80
E01000481,Brent 009B,68
E01000482,Brent 009C,458
E01000483,Brent 009D,205
E01000484,Brent 006B,95
E01000485,Brent 006C,53
E01000486,Brent 006D,57
E01000487,Brent 006E,151
E01000488,Brent 022A,99
E01000489,Brent 030A,142
E01000490,Brent 023A,305
E01000491,Brent 030B,139
E01000492,Brent 030C,77
E01000493,Brent 030D,64
E01000494,Brent 023B,123
E01000495,Brent 023C,190
E01000497,Brent 011A,226
E01000498,Brent 010B,194
E01000499,Brent 011B,195
E01000501,Brent 011C,120
E01000502,Brent 011D,160
E01000503,Brent 011E,165
E01000504,Brent 018A,119
E01000505,Brent 018B,84
E01000506,Brent 014A,253
E01000507,Brent 018C,88
E01000508,Brent 025A,241
E01000509,Brent 014B,133
E01000510,Brent 014C,406
E01000511,Brent 014D,135
E01000512,Brent 018D,86
E01000513,Brent 002A,61
E01000514,Brent 002B,59
E01000515,Brent 003A,179
E01000516,Brent 002C,211
E01000517,Brent 003B,110
E01000518,Brent 005A,85
E01000519,Brent 005B,93
E01000520,Brent 002D,96
E01000521,Brent 025B,377
E01000522,Brent 025C,126
E01000523,Brent 031A,355
E01000524,Brent 031B,571
E01000525,Brent 031C,190
E01000526,Brent 025D,227
E01000527,Brent 025E,190
E01000528,Brent 025F,95
E01000530,Brent 033A,105
E01000531,Brent 033B,144
E01000532,Brent 033C,159
E01000533,Brent 031E,395
E01000534,Brent 033D,83
E01000535,Brent 031F,188
E01000536,Brent 004A,144
E01000538,Brent 004B,63
E01000539,Brent 004C,64
E01000540,Brent 004D,63
E01000541,Brent 004E,100
E01000543,Brent 003E,181
E01000544,Brent 034A,98
E01000545,Brent 028A,294
E01000546,Brent 028B,137
E01000547,Brent 028C,102
E01000548,Brent 028D,349
E01000549,Brent 028E,116
E01000550,Brent 034B,183
E01000551,Brent 034C,169
E01000552,Brent 034D,113
E01000553,Brent 015A,211
E01000554,Brent 015B,102
E01000555,Brent 015C,83
E01000556,Brent 015D,348
E01000557,Brent 015E,113
E01000558,Brent 015F,173
E01000559,Brent 018E,154
E01000560,Brent 023D,116
E01000561,Brent 023E,153
E01000562,Brent 008A,70
E01000563,Brent 008B,94
E01000564,Brent 013A,116
E01000565,Brent 013B,73
E01000566,Brent 008C,42
E01000567,Brent 016A,71
E01000568,Brent 008D,418
E01000569,Brent 008E,45
E01000570,Brent 012A,98
E01000571,Brent 012B,131
E01000572,Brent 007A,42
E01000573,Brent 007B,66
E01000574,Brent 007C,37
E01000575,Brent 007D,189
E01000576,Brent 012C,101
E01000577,Brent 007E,212
E01000578,Brent 012D,187
E01000579,Brent 032A,92
E01000580,Brent 032B,208
E01000581,Brent 030E,92
E01000582,Brent 032C,145
E01000583,Brent 032D,280
E01000584,Brent 033E,60
E01000585,Brent 033F,86
E01000586,Brent 032E,349
E01000587,Brent 001A,81
E01000588,Brent 002E,332
E01000589,Brent 001B,264
E01000590,Brent 001C,76
E01000591,Brent 003F,237
E01000592,Brent 001D,96
E01000593,Brent 001E,80
E01000594,Brent 001F,181
E01000595,Brent 027A,114
E01000596,Brent 021A,154
E01000599,Brent 027D,108
E01000600,Brent 027E,770
E01000601,Brent 021B,518
E01000602,Brent 021C,141
E01000603,Brent 021D,94
E01000604,Brent 021E,110
E01000605,Brent 021F,107
E01000606,Brent 016B,65
E01000607,Brent 013C,88
E01000608,Brent 013D,261
E01000609,Brent 016C,79
E01000610,Brent 019A,107
E01000611,Brent 016D,85
E01000612,Brent 019B,98
E01000613,Brent 013E,82
E01000615,Brent 017B,299
E01000616,Brent 020A,126
E01000617,Brent 017C,113
E01000618,Brent 017D,70
E01000619,Brent 017E,88
