LSOA11CD,LSOA11NM,sumarea,agvarea,count,Green_rate, Per_capita_green_area,Theft,Violence_Against_the_Person,sum
E01000284,Barnet 012D,32959.1196,32959.1196,1,0.118059825,19.71239211,10,41,108
E01000285,Barnet 004A,624.4942,624.4942,1,0.003031885,0.430982885,5,25,69
E01000286,Barnet 007E,25564.7635,25564.7635,1,0.095524216,16.27292393,23,86,187
E01000287,Barnet 004B,46550.5121,23275.25605,2,0.16814711,29.29547646,7,28,77
E01000288,Barnet 004C,89846.441,44923.2205,2,0.268040667,57.26350605,6,15,80
E01000289,Barnet 004D,106659.768,35553.256,3,0.370853636,58.70102807,8,32,123
E01000290,Barnet 007F,1060865.293,212173.0587,5,0.518095096,681.3521471,13,30,82
E01000291,Barnet 004E,53177.0314,26588.5157,2,0.218281563,33.76319454,7,30,95
E01000292,Barnet 001E,20890.5851,20890.5851,1,0.072926704,14.24034431,33,29,107
E01000294,Barnet 004F,7650.1105,7650.1105,1,0.023376423,4.784309256,25,16,77
E01000297,Barnet 027D,11048.071,11048.071,1,0.04770045,7.704373082,9,12,53
E01000304,Barnet 020E,20159.3761,20159.3761,1,0.113923666,12.95589724,4,15,60
E01000305,Barnet 036B,389987.5893,43331.95437,9,0.565864708,235.3576278,28,53,201
E01000308,Barnet 036D,368975.2302,92243.80755,4,0.699591673,243.387355,9,37,107
E01000310,Barnet 034C,14518.4245,14518.4245,1,0.046809037,7.155458107,30,56,212
E01000312,Barnet 036E,1313.9167,1313.9167,1,0.008935812,0.785835347,10,38,93
E01000313,Barnet 036F,16822.1733,8411.08665,2,0.07744807,9.053914586,11,29,107
E01000315,Barnet 022F,106831.835,26707.95875,4,0.210606028,62.29261516,12,53,154
E01000316,Barnet 027E,64927.2977,32463.64885,2,0.160109111,28.08274122,118,68,326
E01000324,Barnet 015F,0.1665,0.1665,1,6.10E-07,9.32E-05,7,28,83
E01000325,Bexley 014A,67843.9879,33921.99395,2,0.173297284,42.13912292,9,17,54
E01000326,Bexley 014B,81280.4983,40640.24915,2,0.299016796,62.76486355,2,27,50
E01000327,Bexley 017A,67698.8638,67698.8638,1,0.175149704,43.87483072,4,22,52
E01000328,Bexley 017B,96211.5206,24052.88015,4,0.174203364,65.00778419,5,61,113
E01000329,Bexley 017C,186807.719,62269.23967,3,0.388286463,141.9511543,8,44,98
E01000330,Bexley 017D,35.6917,35.6917,1,0.000139475,0.023116386,9,39,101
E01000331,Bexley 017E,279847.181,55969.4362,5,0.524844307,171.6853871,13,28,105
E01000332,Bexley 005A,39671.1424,19835.5712,2,0.142250777,25.94580929,3,18,70
E01000333,Bexley 003A,41293.3769,20646.68845,2,0.142683673,24.78594052,29,30,142
E01000334,Bexley 006A,62979.4963,31489.74815,2,0.234256465,39.09341794,3,33,70
E01000335,Bexley 003B,23500.8478,5875.21195,4,0.016812754,13.0996922,84,65,292
E01000337,Bexley 003D,66798.5485,66798.5485,1,0.242817077,40.41049516,5,32,89
E01000338,Bexley 003E,2239.2128,2239.2128,1,0.013044114,1.278819417,10,31,102
E01000339,Bexley 025A,21063.888,7021.296,3,0.081282109,13.76724706,1,18,50
E01000342,Bexley 022B,9355.2106,9355.2106,1,0.041935146,5.865335799,1,20,56
E01000343,Bexley 022C,53734.0089,17911.3363,3,0.174294745,35.00586899,5,20,64
E01000344,Bexley 025B,5351.3125,2675.65625,2,0.02385163,3.325862337,12,17,64
E01000345,Bexley 022D,11144.8601,2786.215025,4,0.053075998,8.224989004,2,4,34
E01000346,Bexley 021A,78152.9833,39076.49165,2,0.222521522,48.18309698,3,17,59
E01000350,Bexley 021C,51361.969,12840.49225,4,0.194451822,34.21850033,30,11,79
E01000351,Bexley 024A,3924.9492,1962.4746,2,0.012618812,2.474747289,4,9,64
E01000353,Bexley 011A,11021.5041,5510.75205,2,0.032902694,6.53707242,5,8,37
E01000355,Bexley 011C,124497.9056,124497.9056,1,0.29565462,85.03955301,8,9,40
E01000360,Bexley 015A,47758.1588,23879.0794,2,0.107550355,28.73535427,183,143,508
E01000364,Bexley 023A,72111.2252,36055.6126,2,0.167495749,45.72683906,5,20,68
E01000365,Bexley 015C,5160.2617,2580.13085,2,0.015119241,3.075245352,23,27,78
E01000367,Bexley 010A,8505.4991,2835.166367,3,0.032425989,5.400316889,11,46,118
E01000368,Bexley 010B,9875.3487,9875.3487,1,0.040840734,6.416730799,8,45,89
E01000372,Bexley 010C,3681.1,1840.55,2,0.016226677,2.191130952,9,28,91
E01000373,Bexley 008A,8892.3207,4446.16035,2,0.099106614,5.649504892,12,27,83
E01000374,Bexley 019A,24833.0185,12416.50925,2,0.033470784,16.19896836,19,29,123
E01000375,Bexley 019B,10.2856,10.2856,1,2.42E-05,0.006968564,12,24,110
E01000376,Bexley 019C,9107.4862,4553.7431,2,0.016669018,5.910114341,13,29,104
E01000377,Bexley 019D,23396.6311,7798.877033,3,0.054400416,16.47650077,8,20,64
E01000378,Bexley 019E,562014.9063,112402.9813,5,0.446808419,264.976382,196,114,479
E01000379,Bexley 019F,37889.1335,37889.1335,1,0.114755858,22.55305565,4,28,73
E01000380,Bexley 010D,21877.7068,10938.8534,2,0.098291306,15.0362246,2,30,85
E01000381,Bexley 028A,287295.3873,95765.1291,3,0.139819443,179.7843475,8,26,77
