Codes,Names,lntheft,oldpeoplerate,Working-agerate, Couplehouseholdwithdependentchildren,Couplehouseholdwithoutdependentchildren,Onepersonhousehold,multpersonhousehold,Goodhealth,Fairhealth,Badhealth,Nocars,car1,car2
E01000869,Camden 015E,3.50 ,8.96 ,76.59 ,10.70 ,20.10 ,37.60 ,22.50 ,84.70 ,10.00 ,5.30 ,61.90 ,32.80 ,4.60 
E01000870,Camden 009B,3.99 ,10.16 ,73.95 ,11.90 ,20.30 ,40.80 ,14.90 ,80.90 ,11.50 ,7.60 ,59.00 ,36.40 ,4.00 
E01000871,Camden 005A,3.22 ,10.94 ,70.31 ,15.70 ,25.80 ,29.00 ,23.10 ,86.80 ,9.40 ,3.80 ,36.70 ,42.60 ,14.90 
E01000872,Camden 005B,3.56 ,5.68 ,82.02 ,9.70 ,20.90 ,41.80 ,19.90 ,86.50 ,9.30 ,4.20 ,65.10 ,27.80 ,6.80 
E01000873,Camden 005C,2.64 ,10.43 ,74.13 ,14.10 ,23.50 ,33.10 ,20.80 ,89.40 ,6.80 ,3.80 ,44.80 ,42.80 ,11.30 
E01000874,Camden 005D,1.61 ,13.47 ,71.97 ,17.90 ,27.00 ,32.20 ,17.90 ,91.00 ,7.00 ,2.10 ,45.90 ,46.90 ,6.80 
E01000875,Camden 013A,2.64 ,8.65 ,79.20 ,7.00 ,20.60 ,44.00 ,18.20 ,84.80 ,9.70 ,5.50 ,66.40 ,28.60 ,3.90 
E01000876,Camden 013B,3.26 ,9.55 ,72.08 ,10.00 ,19.40 ,42.80 ,15.30 ,80.10 ,11.40 ,8.50 ,64.90 ,31.20 ,3.60 
E01000877,Camden 005E,2.30 ,9.66 ,76.49 ,15.60 ,25.60 ,37.70 ,16.10 ,87.70 ,8.70 ,3.60 ,48.80 ,40.50 ,9.20 
E01000878,Camden 004A,2.08 ,15.21 ,72.97 ,17.60 ,29.30 ,34.20 ,10.90 ,87.60 ,9.20 ,3.10 ,34.20 ,43.60 ,16.70 
E01000879,Camden 004B,3.09 ,14.13 ,69.55 ,17.90 ,26.40 ,39.40 ,10.80 ,90.10 ,7.40 ,2.50 ,45.80 ,41.00 ,10.50 
E01000880,Camden 004C,2.20 ,12.11 ,63.55 ,25.90 ,21.70 ,30.80 ,16.10 ,91.10 ,7.10 ,1.80 ,35.60 ,48.60 ,12.60 
E01000881,Camden 008A,2.89 ,10.13 ,71.52 ,12.70 ,22.60 ,39.10 ,20.30 ,88.30 ,8.20 ,3.50 ,53.20 ,35.60 ,9.00 
E01000882,Camden 008B,2.64 ,11.83 ,72.04 ,15.90 ,27.90 ,38.60 ,13.30 ,92.10 ,6.50 ,1.30 ,45.50 ,43.00 ,9.50 
E01000883,Camden 008C,4.23 ,12.14 ,74.13 ,14.10 ,23.50 ,40.40 ,17.60 ,89.10 ,8.10 ,2.90 ,61.40 ,31.30 ,5.60 
E01000884,Camden 004D,2.20 ,12.53 ,64.53 ,24.30 ,25.50 ,31.40 ,13.20 ,90.50 ,7.40 ,2.20 ,26.20 ,40.70 ,25.80 
E01000885,Camden 004E,1.79 ,23.99 ,56.67 ,21.30 ,32.40 ,29.10 ,11.30 ,87.20 ,9.30 ,3.50 ,19.80 ,49.70 ,22.30 
E01000886,Camden 006A,3.30 ,11.76 ,69.41 ,18.30 ,22.40 ,30.90 ,19.00 ,86.90 ,8.90 ,4.20 ,42.20 ,46.50 ,10.20 
E01000887,Camden 006B,3.64 ,10.77 ,74.29 ,13.20 ,22.20 ,38.00 ,17.80 ,85.10 ,9.80 ,5.20 ,55.80 ,36.70 ,6.40 
E01000888,Camden 006C,3.26 ,10.09 ,69.60 ,18.70 ,20.90 ,36.20 ,14.60 ,85.80 ,8.60 ,5.60 ,53.50 ,37.90 ,7.30 
E01000889,Camden 007A,2.77 ,10.54 ,67.54 ,15.20 ,15.80 ,34.10 ,14.60 ,74.70 ,14.30 ,11.10 ,64.50 ,28.90 ,5.50 
E01000890,Camden 007B,2.71 ,16.59 ,63.96 ,9.90 ,14.70 ,46.50 ,12.50 ,70.30 ,16.60 ,13.00 ,71.10 ,24.90 ,3.90 
E01000891,Camden 007C,3.43 ,11.94 ,66.41 ,11.00 ,12.10 ,41.50 ,14.60 ,75.00 ,13.80 ,11.10 ,75.60 ,22.00 ,1.90 
E01000892,Camden 006D,3.47 ,13.40 ,66.96 ,15.40 ,21.00 ,37.40 ,14.10 ,84.00 ,10.40 ,5.60 ,51.80 ,41.30 ,6.00 
E01000893,Camden 002A,3.22 ,15.33 ,67.75 ,16.80 ,23.80 ,39.30 ,14.40 ,90.20 ,7.00 ,2.70 ,43.80 ,42.20 ,11.60 
E01000894,Camden 002B,4.01 ,16.05 ,65.30 ,19.90 ,32.50 ,33.80 ,11.00 ,91.10 ,6.80 ,2.10 ,38.60 ,45.10 ,11.80 
E01000895,Camden 002C,4.83 ,17.85 ,66.75 ,14.50 ,23.10 ,47.90 ,8.40 ,83.30 ,11.50 ,5.20 ,55.30 ,37.50 ,5.50 
E01000896,Camden 002D,3.43 ,17.67 ,64.54 ,20.80 ,32.30 ,34.10 ,10.30 ,89.80 ,7.20 ,3.00 ,39.70 ,45.00 ,12.40 
E01000897,Camden 008D,2.56 ,15.22 ,65.25 ,22.10 ,30.10 ,33.70 ,10.50 ,90.80 ,6.80 ,2.40 ,37.20 ,47.20 ,13.00 
E01000898,Camden 008E,5.04 ,11.57 ,73.57 ,11.50 ,18.40 ,49.20 ,14.80 ,84.70 ,9.80 ,5.50 ,66.00 ,27.50 ,5.60 
E01000899,Camden 002E,3.09 ,17.58 ,62.81 ,23.20 ,31.20 ,32.80 ,8.20 ,91.00 ,6.50 ,2.50 ,25.90 ,45.30 ,23.50 
E01000900,Camden 012A,3.37 ,11.16 ,71.02 ,12.70 ,21.10 ,33.80 ,18.80 ,80.60 ,11.40 ,7.90 ,65.30 ,29.20 ,5.00 
E01000901,Camden 007D,3.47 ,6.42 ,68.13 ,17.80 ,9.50 ,32.40 ,16.90 ,79.30 ,13.40 ,7.30 ,68.70 ,28.70 ,2.40 
E01000902,Camden 012B,3.18 ,9.99 ,65.95 ,14.20 ,14.10 ,36.60 ,15.10 ,76.90 ,15.20 ,7.90 ,67.50 ,27.80 ,4.40 
E01000903,Camden 006E,3.78 ,14.45 ,72.20 ,14.30 ,20.60 ,43.90 ,14.90 ,82.40 ,11.50 ,6.00 ,52.00 ,42.60 ,4.50 
E01000904,Camden 012C,5.00 ,10.24 ,71.79 ,10.90 ,18.60 ,33.70 ,20.30 ,80.90 ,11.90 ,7.20 ,65.40 ,30.70 ,3.70 
E01000905,Camden 012D,3.56 ,12.62 ,62.33 ,13.70 ,12.10 ,36.90 ,14.40 ,74.60 ,15.50 ,10.00 ,71.60 ,24.60 ,3.40 
E01000906,Camden 012E,3.91 ,14.23 ,75.85 ,9.10 ,26.10 ,40.50 ,18.30 ,85.60 ,9.80 ,4.60 ,53.00 ,38.20 ,6.60 
E01000907,Camden 001A,2.30 ,11.40 ,67.97 ,12.30 ,20.10 ,33.00 ,13.60 ,78.00 ,13.20 ,8.70 ,61.20 ,33.00 ,4.60 
E01000908,Camden 001B,1.95 ,13.35 ,68.18 ,11.60 ,17.30 ,50.80 ,7.10 ,78.20 ,12.40 ,9.40 ,59.50 ,34.50 ,5.30 
E01000909,Camden 001C,3.09 ,17.91 ,66.98 ,17.90 ,29.30 ,30.10 ,15.40 ,85.60 ,10.00 ,4.50 ,36.80 ,44.50 ,15.10 
E01000910,Camden 003A,3.30 ,15.63 ,67.32 ,20.10 ,28.10 ,29.40 ,16.80 ,88.90 ,8.10 ,3.00 ,38.10 ,47.80 ,12.20 
E01000911,Camden 003B,2.48 ,13.79 ,65.81 ,15.80 ,23.40 ,33.20 ,13.60 ,83.70 ,11.00 ,5.30 ,50.40 ,42.70 ,6.50 
E01000912,Camden 001D,3.64 ,14.22 ,69.41 ,12.90 ,16.60 ,38.60 ,16.30 ,77.20 ,14.60 ,8.20 ,60.60 ,36.10 ,3.00 
E01000913,Camden 001E,4.11 ,19.47 ,63.45 ,19.30 ,34.60 ,29.10 ,13.30 ,89.60 ,7.30 ,3.10 ,22.30 ,42.80 ,26.70 
E01000914,Camden 028B,6.79 ,11.12 ,81.16 ,4.70 ,18.20 ,49.80 ,21.90 ,86.70 ,8.70 ,4.50 ,73.50 ,21.00 ,4.40 
E01000915,Camden 027A,4.41 ,11.33 ,69.48 ,12.30 ,18.30 ,38.90 ,18.30 ,79.30 ,12.30 ,8.40 ,70.20 ,26.30 ,2.80 
E01000916,Camden 027B,5.31 ,8.18 ,78.67 ,7.80 ,20.40 ,44.50 ,16.30 ,84.00 ,9.70 ,6.20 ,76.30 ,21.20 ,1.90 
E01000917,Camden 027C,4.65 ,8.95 ,69.97 ,11.80 ,11.80 ,50.20 ,11.80 ,75.00 ,15.60 ,9.40 ,78.10 ,19.70 ,2.00 
E01000918,Camden 028C,6.26 ,10.72 ,79.52 ,7.50 ,17.30 ,51.60 ,17.90 ,82.20 ,11.90 ,5.90 ,77.60 ,18.70 ,2.60 
E01000919,Camden 028D,6.67 ,7.10 ,84.76 ,4.10 ,15.90 ,52.00 ,20.30 ,85.60 ,10.00 ,4.50 ,76.60 ,19.80 ,2.90 
E01000920,Camden 027D,4.82 ,9.15 ,78.31 ,9.50 ,20.20 ,43.20 ,18.90 ,84.70 ,10.30 ,5.00 ,69.10 ,26.10 ,4.20 
E01000921,Camden 003C,4.98 ,6.51 ,79.55 ,12.20 ,22.20 ,40.30 ,17.90 ,86.80 ,9.10 ,4.10 ,70.70 ,25.70 ,2.70 
E01000922,Camden 007E,4.65 ,8.34 ,77.12 ,9.60 ,16.20 ,40.70 ,22.20 ,85.40 ,9.90 ,4.70 ,65.50 ,30.90 ,3.10 
