lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,ethnic_bame,tenure_owned_with_a_mortgage_or_loan,no_qualifications,good_health,bad_health
E01001794,Hackney 011C,901,2003,1004,5309,1603,4601,2305,2202,7904,1005
E01001795,Hackney 011D,1208,1703,1104,5702,1806,4208,2208,1401,8506,501
E01001796,Hackney 011E,1005,1409,1202,4909,2303,5001,1802,1406,8305,602
E01001736,Hackney 012A,607,2106,1206,6606,1602,3304,26,1302,8606,503
E01001737,Hackney 012B,603,22,907,6905,1106,3005,3004,906,8804,4
E01001738,Hackney 012C,603,21,906,73,1101,27,2202,1305,86,509
E01001739,Hackney 012D,602,2108,1006,7503,12,2407,2508,1102,8408,406
E01001786,Hackney 013A,1502,901,2307,2608,54,7302,909,2404,8101,605
E01001787,Hackney 013B,1704,1209,2407,38,4102,62,1109,3202,7304,1006
E01001788,Hackney 013C,1701,903,2009,3401,4301,6509,903,3003,76,902
E01001790,Hackney 013D,1609,1108,24,2403,5209,7507,703,2301,8001,708
E01001740,Hackney 014A,13,1303,2301,4009,3101,5901,905,2704,7901,807
E01001747,Hackney 014B,8,2006,1108,6009,1901,3901,21,1606,8207,604
E01001830,Hackney 014C,1005,1704,1307,5101,2602,4809,1001,1808,7707,802
E01001833,Hackney 014D,903,1602,1603,5301,2403,4609,2005,1603,8207,606
E01001834,Hackney 014E,704,1802,1205,5903,2002,4007,1606,1204,8406,507
E01001835,Hackney 014F,601,2402,707,6307,1504,3603,3502,1109,8406,403
E01001733,Hackney 015A,9,1604,1108,5702,2005,4208,26,1607,8302,6
E01001785,Hackney 015B,1101,1805,1805,5104,2706,4806,2307,2108,8102,708
E01001789,Hackney 015C,907,1505,1607,53,2604,47,2405,1702,8207,602
E01001791,Hackney 015D,1406,1402,2308,3701,3408,6209,2304,2406,8006,609
E01001745,Hackney 016A,1104,1302,1703,4402,3407,5508,1104,2001,8207,605
E01001746,Hackney 016B,1506,807,2808,3306,3809,6604,407,2402,8207,404
E01001757,Hackney 016C,1305,1103,2605,2304,4504,7606,809,20,8309,504
E01001758,Hackney 016D,1109,1207,18,39,3305,61,1104,2106,8102,702
E01001759,Hackney 016E,1105,16,1404,4903,2901,5007,1702,1708,8102,608
E01001761,Hackney 016F,1001,1505,1408,5103,2708,4807,1107,2006,7603,901
E01001731,Hackney 017A,1109,1209,1408,4701,30,5209,1101,1605,8407,5
E01001734,Hackney 017B,1103,1606,1304,5502,2504,4408,14,1508,8204,6
E01001760,Hackney 017C,1106,1803,1507,4905,2608,5005,1106,19,8009,605
E01001762,Hackney 017D,801,16,1006,6401,1701,3509,1804,1302,8208,506
E01001846,Hackney 018A,1306,1406,2107,4208,3806,5702,1203,2808,75,808
E01001847,Hackney 018B,1302,1508,1905,4806,2808,5104,1808,2402,7604,809
E01001848,Hackney 018C,1003,15,1507,55,3104,45,16,2402,7903,607
E01001849,Hackney 018D,11,1504,1708,4706,2901,5204,1604,1606,84,405
E01001729,Hackney 019A,1506,902,2107,3305,4206,6605,907,2401,8103,609
E01001730,Hackney 019B,1609,12,2101,3606,3409,6304,7,30,7802,707
E01001732,Hackney 019C,1802,1205,2603,3408,4106,6502,8,2501,7908,703
E01001735,Hackney 019D,805,1809,1606,5607,2605,4303,2401,22,8104,608
E01001838,Hackney 019E,2206,807,2601,3203,3907,6707,605,30,7701,8
E01001850,Hackney 019F,1802,1009,2904,3001,4702,6909,607,2603,8002,705
E01001748,Hackney 020A,804,1806,1107,6001,1904,3909,1209,1208,8502,506
E01001749,Hackney 020B,6,2107,11,7005,1508,2905,2408,1002,8702,405
E01001763,Hackney 020C,1206,1805,1408,5603,2702,4307,17,1603,8109,702
E01001816,Hackney 020D,905,1905,1505,6205,2208,3705,2408,1605,8303,408
E01001819,Hackney 020E,709,2108,1206,68,16,32,2009,1801,8003,707
E01001744,Hackney 021B,602,1901,1402,5704,2606,4206,2009,2006,7909,604
E01001750,Hackney 021C,6,2001,1307,5907,1708,4003,1609,1708,8401,603
E01001751,Hackney 021D,306,3107,503,8306,407,1604,3006,7,9005,205
E01001756,Hackney 021E,604,2203,707,7408,907,2502,19,1101,8706,404
E01033698,Hackney 021F,907,1104,17,4505,2707,5405,501,2409,7206,1108
E01033699,Hackney 021G,1001,20,7,57,1705,43,1404,11,8702,402
E01033700,Hackney 021H,805,2102,705,61,1503,39,1305,1106,8605,409
E01033707,Hackney 021I,702,1802,1001,54,2206,46,505,1503,82,603
E01001836,Hackney 022A,904,1808,16,6301,2104,3609,1601,1909,83,507
E01001840,Hackney 022B,1103,1203,1907,4503,3209,5407,1404,28,7608,808
E01001841,Hackney 022C,907,1804,1206,7304,1502,2606,20,2106,7607,803
E01001844,Hackney 022D,704,19,1101,6406,1605,3504,1802,1501,8709,4
E01001845,Hackney 022E,1402,1109,2302,4701,3408,5209,409,3104,7302,1009
E01001837,Hackney 023B,504,2902,8,7603,801,2307,2905,1007,8606,308
E01001839,Hackney 023C,804,1606,1403,6009,1706,3901,1408,1001,88,307
E01001842,Hackney 023D,1103,1305,2306,4208,3202,5702,1401,2002,81,607
E01001843,Hackney 023E,1005,1603,2101,55,2408,45,2105,1909,8108,702
E01033704,Hackney 023F,406,2205,804,6807,1209,3103,17,606,9103,202
E01033712,Hackney 023G,907,1802,1606,6003,2003,3907,1206,1303,8509,404
E01001772,Hackney 024A,1503,1402,20,36,3808,64,803,2504,7504,1004
E01001774,Hackney 024B,805,1806,1508,5608,2107,4302,1701,1509,8602,403
E01001775,Hackney 024C,13,1302,1701,4204,2708,5706,1205,2109,7907,8
E01001815,Hackney 024D,1307,1206,1705,4308,33,5602,15,2307,7702,809
E01001820,Hackney 024E,1206,14,2202,4509,36,5401,1305,2603,7605,902
E01001821,Hackney 024F,1208,1209,1702,4508,3302,5402,1002,2701,7504,902
E01001752,Hackney 025A,605,1707,1305,6001,2104,3909,1604,11,8708,402
E01001753,Hackney 025B,1702,13,2004,3603,3908,6307,407,2406,8006,707
E01001754,Hackney 025C,904,1703,1308,5702,21,4208,1106,1706,8309,508
E01001755,Hackney 025D,1105,1009,2009,4707,28,5203,8,2307,80,801
E01001773,Hackney 025E,1005,1801,1602,4801,25,5109,702,1901,8004,705
E01001776,Hackney 025F,1303,1302,14,4606,3006,5304,802,2802,7503,11
E01001779,Hackney 026A,809,1703,1205,4907,2209,5003,1002,19,8203,7
E01001781,Hackney 026B,1703,1004,2109,5305,2307,4605,507,2604,7704,807
E01001782,Hackney 026C,706,2307,1201,6409,1202,3501,1909,15,8601,501
E01001783,Hackney 026D,1605,1004,2206,40,3406,60,702,2406,7908,707
E01001777,Hackney 027B,802,1505,1509,5408,2307,4502,905,1602,8305,506
E01001780,Hackney 027D,1107,1209,1404,5109,2305,4801,1003,1806,7804,606
E01001784,Hackney 027E,907,1507,1606,5202,2201,4708,1209,1607,8405,409
E01033706,Hackney 027F,507,1807,706,7102,806,2808,1202,5,92,203
E01033708,Hackney 027G,306,2204,103,7503,406,2407,1206,3,9409,104
E01033709,Hackney 027H,505,1402,1301,5507,22,4403,602,1203,8702,401
E01033711,Hackney 027I,407,1508,602,6307,1004,3603,1704,702,9009,303
E01001798,Hackney 028A,1505,1104,20,3401,3105,6509,1303,2601,7808,707
E01001828,Hackney 028B,1509,1205,2405,3608,3901,6302,1107,2301,8007,702
E01033702,Hackney 028C,1105,1908,1404,4801,2201,5109,15,1901,8501,6
E01033705,Hackney 028D,1202,1307,21,3501,3707,6409,1202,1802,8309,508
E01033710,Hackney 028E,1006,1401,18,5103,2408,4807,1206,1501,87,401
E01001722,Hackney 029A,1101,1306,1603,4507,2905,5403,1104,24,8006,701
E01001728,Hackney 029B,1202,15,1604,5708,1907,4202,805,3707,88,307
E01001822,Hackney 029C,15,1105,2005,42,2809,58,1008,3102,7808,804
E01001827,Hackney 029D,1404,1105,2009,52,27,48,809,3208,80,709
E01001874,Hammersmith and Fulham 001A,706,14,1307,5708,1702,4202,1005,1607,8302,504
E01001875,Hammersmith and Fulham 001B,1108,1706,2508,5208,2006,4702,1406,3105,7709,704
E01001876,Hammersmith and Fulham 001C,908,1405,1707,4007,2108,5903,606,2001,8204,508
E01001877,Hammersmith and Fulham 001D,906,1709,1406,4501,2701,5409,1006,1902,81,604
E01001878,Hammersmith and Fulham 001E,1201,1602,2809,5307,2007,4603,1202,2907,8009,605
E01001955,Hammersmith and Fulham 002A,1306,1208,2703,4803,2706,5107,1205,2906,7903,704
E01001957,Hammersmith and Fulham 002B,13,1007,2704,3501,3703,6409,708,2305,7905,707
E01001958,Hammersmith and Fulham 002C,1304,1006,30,3106,4002,6804,605,2406,8003,604
E01001961,Hammersmith and Fulham 002D,1404,12,27,3304,3808,6606,801,2405,8002,605
E01001954,Hammersmith and Fulham 003A,609,16,1603,6104,1801,3806,21,1805,8204,602
E01001956,Hammersmith and Fulham 003B,806,2002,1709,6602,1209,3308,2106,1806,8307,6
E01001959,Hammersmith and Fulham 003C,1106,1709,2002,5002,20,4908,1602,2407,7609,902
E01001960,Hammersmith and Fulham 003D,405,1801,1009,6702,1201,3208,2001,1003,8903,303
E01001943,Hammersmith and Fulham 004A,707,1706,908,6009,1401,3901,1108,1208,8309,502
E01001944,Hammersmith and Fulham 004B,1607,1005,1609,3807,3707,6103,603,2303,7601,809
E01001945,Hammersmith and Fulham 004C,505,1904,1108,6806,1302,3104,1904,1205,8408,6
E01001946,Hammersmith and Fulham 004D,701,1701,13,6405,1604,3505,1408,1207,8604,501
E01001862,Hammersmith and Fulham 005A,806,1705,1209,5707,1903,4203,1701,1604,8009,603
E01001940,Hammersmith and Fulham 005B,806,1808,1302,5608,1909,4302,1106,1401,82,606
E01001941,Hammersmith and Fulham 005C,601,1904,709,6505,1007,3405,1301,906,8907,306
E01001942,Hammersmith and Fulham 005D,705,1707,1005,6305,1303,3605,1409,1301,85,504
E01001858,Hammersmith and Fulham 006A,603,1702,12,6404,1301,3506,1705,1308,8209,506
E01001860,Hammersmith and Fulham 006B,1103,14,1307,5309,1907,4601,1207,1508,8304,608
E01001861,Hammersmith and Fulham 006C,709,1907,1309,5604,22,4306,19,1503,8209,506
E01001863,Hammersmith and Fulham 006D,601,2108,1105,7406,1205,2504,2802,1102,89,401
E01001864,Hammersmith and Fulham 006E,609,1902,803,7005,1202,2905,1506,1507,8206,605
E01001852,Hammersmith and Fulham 007A,404,2508,502,7304,701,2606,2407,508,8906,208
E01001853,Hammersmith and Fulham 007B,407,2405,608,7808,605,2102,2406,6,9003,303
E01001854,Hammersmith and Fulham 007C,607,2006,709,7009,907,2901,2208,804,8705,405
