Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,lntheft
E01000083,Barking and Dagenham 007F,11.5294118,61.5882353,21.6,20.8,22.7,11,78.9,13.9,7.2,37.5,46.7,12.2,31.9,15.4,16.7,1.9,9.8,16.2,8,2.03432111
E01000084,Barking and Dagenham 013D,9.74169742,63.3210332,22.1,19.3,26.7,11.8,80.4,13.5,6.1,42.2,43.5,12.8,31.3,16.9,14.9,1.5,9.5,17.4,8.5,3.06349438
E01000085,Barking and Dagenham 013E,10.0698487,61.9906868,19.5,22.2,26.7,12.7,78.5,15.4,6.1,46.4,39.5,11.2,35.6,16.1,14.9,1.6,7.4,16,8.3,2.40327816
E01000086,Barking and Dagenham 013F,10.0628931,63.4521314,24,21.9,23.8,11.8,80.1,14.5,5.5,36.6,46.5,12.2,30.5,15.9,16.4,2.3,7.9,18.9,8.1,1.58753665
E01000087,Barking and Dagenham 020B,9.47054437,65.1752424,18.7,21.1,26.2,13.7,79.3,13.8,6.9,38.8,42.3,15.7,30.5,16.3,18.8,2.1,7.3,17.4,7.7,2.92546022
E01000088,Barking and Dagenham 020C,13.4026258,61.3785558,22.5,20.6,26.3,12.8,80.6,14.2,5.2,35.6,47.5,13.6,30.6,12.8,15.1,2.3,8.4,21.9,8.8,2.16936625
E01000089,Barking and Dagenham 020D,8.64345738,64.2256903,23.7,21.9,21.6,8.8,84.4,11.5,4.1,33,44.6,17.6,25.4,17.4,16.4,2.2,10.8,21.1,6.8,1.569016
E01000090,Barking and Dagenham 020E,8.83838384,62.3737374,21.1,23.7,20,14,84.5,11,4.5,33.9,46.8,14.8,25.3,15.2,14.4,2,10.1,23,10,3.61758415
E01000091,Barking and Dagenham 022A,9.21820303,58.9264877,17.9,16.3,30.8,12.8,79.3,14.4,6.3,48.3,40.1,7.1,32,15.7,13.7,2.5,8.1,17.6,10.4,2.16922038
E01000092,Barking and Dagenham 019E,8.82572924,63.1637996,26.8,13.4,26.3,14.8,82.5,11.8,5.7,40.3,44.2,13,22.8,12.7,14.9,1.9,8.9,27.1,11.8,3.34715786
E01000093,Barking and Dagenham 022B,6.98125404,65.0937298,16.7,14.2,38.3,11.7,77.2,14.5,8.3,53.7,37.9,6.9,27.4,16.2,14.3,2.2,10,19,10.8,2.20273976
E01000094,Barking and Dagenham 022C,1.88536953,67.9487179,23,12.8,27.9,15.7,90,6.6,3.4,37.1,49.7,12.4,12.7,11.8,14,2.1,10.4,37.4,11.7,2.42588331
E01000095,Barking and Dagenham 018E,7.18829517,63.4223919,28.2,18.4,22.4,12.2,86,9.6,4.4,30.4,47.5,18.4,23.2,16.6,13.2,1.6,8.6,26.8,9.9,4.95032869
E01000096,Barking and Dagenham 022D,5.17150396,60.0527704,21.8,11.3,22.8,13.8,82.6,12.5,5,51.3,41.3,6.4,25,19.1,16.7,1.7,8.1,19.8,9.6,2.53883499
E01000097,Barking and Dagenham 023C,18.0629828,57.5163399,20.9,19.9,36,7.5,76.5,14.1,9.4,43.5,41.5,12.4,36.7,15.6,13.3,1.7,7.9,18,6.8,1.78200718
E01000098,Barking and Dagenham 023D,9.27835052,63.8029782,21.8,20.8,23.5,11.2,79.4,13.6,7,35,45.8,15.5,30.5,16.5,15.9,1.6,8.8,17.3,9.4,3.8121204
E01000099,Barking and Dagenham 023E,10.9122402,63.1639723,24.9,21.9,24.6,9.5,79.3,14.2,6.5,34.5,44.6,16.5,30.9,17.1,13.6,2.4,9.6,18.2,8.2,1.84861846
E01000100,Barking and Dagenham 004B,10.8287961,61.5245009,22.8,21.1,25.2,10.9,79.7,14,6.4,37.4,43.9,15.6,30.3,15.6,17.3,2.6,9.1,16.4,8.7,1.28916765
E01000101,Barking and Dagenham 004C,10.7732981,65.1024455,22.8,21.2,25.4,12.9,78.3,12.6,9.2,37,45.1,14.3,32.2,16.6,13.7,2.2,8.9,18.3,8.1,2.8440021
E01000102,Barking and Dagenham 007G,12.7922078,62.3376623,22.1,19.7,29.4,9.8,78.8,14,7.3,36.8,45.9,14.6,32,13.5,15,1.6,10.6,18.6,8.7,1.51412773
E01000103,Barking and Dagenham 014A,7.59643917,66.0534125,19.3,18.5,22.8,15.3,83,10.9,6.1,35.7,46.7,14.8,29.6,16.4,14.9,1.8,8.1,20.6,8.6,1.67545901
E01000104,Barking and Dagenham 014B,7.86075239,64.0089837,17.1,14.5,38,9.6,83.2,10.9,5.9,46,42.1,10.3,28.3,18.1,19.5,2.7,9.5,14.5,7.5,2.75502951
E01000105,Barking and Dagenham 014C,12.5410991,62.188821,17.4,18,36,8.5,77.3,16.5,6.2,53.1,36.2,9.4,35.1,15.4,15.1,2.1,7.7,17.3,7.3,3.80869581
E01000106,Barking and Dagenham 014D,11.2804878,63.5670732,14.5,17.1,42.9,6.8,77.5,15.4,7,53.9,36.4,7.6,28.2,15.4,16.6,3.2,8.3,19.6,8.8,2.36750464
E01000107,Barking and Dagenham 010C,16.9267707,59.9639856,20.6,29.6,21.8,10.5,79.6,14.5,5.9,26.5,49.6,17.6,33.6,14.5,16.3,3.4,7.9,15.5,8.9,1.68679903
E01000108,Barking and Dagenham 010D,11.6816431,67.2015404,16.9,29,29.9,8,82.8,12.1,5.1,34.4,44.6,16.3,26.3,16.7,15.5,3.7,11.7,19.6,6.4,2.3898104
E01000109,Barking and Dagenham 004D,10.3795967,64.8279953,21.9,24.8,24.5,10.5,83.2,12.2,4.6,29.4,46.4,19.7,25.3,17,16.2,2.4,10.9,19,9.1,2.11669847
E01000110,Barking and Dagenham 002C,13.7711864,65.3954802,22.4,32.5,18.4,12.8,81.1,13.8,5,19.2,48.5,26.5,22,13.7,19,2.1,9.7,26.2,7.2,0.34531119
